Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-07-06,1733.69677734375,1740.9924955104646,1705.3298134731729,1706.4173230958763,3713781
2018-07-09,1706.5533447265625,1744.0739767688247,1700.6624277107778,1743.7114366722815,6151747
2018-07-10,1699.3935546875,1720.9634176848715,1695.4511939760505,1720.1477301438158,5303302
2018-07-11,1794.3734130859375,1810.7773297324472,1716.6586202808537,1721.9604236694945,22903802
2018-07-12,1786.6243896484375,1804.3424988059778,1776.7911123262998,1798.0890420073342,6921701
2018-07-13,1795.4608154296875,1810.6866140970578,1789.0261437260103,1789.9324386316466,4148185
2018-07-16,1802.8017578125,1808.9646073406896,1792.152792814377,1803.526837979946,2582159
2018-07-17,1818.194580078125,1824.4151870916598,1798.9877977245287,1806.2527661151375,3315492
2018-07-18,1816.4693603515625,1826.867303349304,1809.9309323051991,1820.7829358854558,2013869
2018-07-19,1799.3509521484375,1825.7318004009098,1788.9983506892622,1818.1490123036824,1746318
2018-07-20,1813.1544189453125,1816.2420526056658,1801.7121161848204,1802.5294472794164,1934995
2018-07-23,1821.3729248046875,1825.2777786326183,1803.5283247977743,1817.1501399397514,2086201
2018-07-24,1815.3341064453125,1829.8640442657854,1801.848530076612,1829.8640442657854,2038423
2018-07-25,1799.4415283203125,1818.058006407906,1787.545166932819,1817.9672164905937,1535492
2018-07-26,1784.185546875,1802.6204502292724,1775.4676061632051,1793.4937884945718,3503036
2018-07-27,1765.1605224609375,1784.1402770662999,1762.027548769356,1780.6893722818213,2033977
2018-07-30,1765.932373046875,1775.1043745269305,1754.081458505663,1764.4794013721014,1579251
2018-07-31,1761.936279296875,1768.1115462965608,1750.8572476937695,1763.5709414010894,2204803
2018-08-01,1794.90087890625,1799.4869335888309,1770.6540962980273,1770.7902257432825,2425180
2018-08-02,1769.38330078125,1802.6205132629293,1766.2956666480593,1798.0799074360705,1509287
2018-08-03,1797.580078125,1799.9412814205355,1776.7387454123034,1776.7387454123034,1505131
2018-08-06,1794.0384521484375,1815.288394465064,1791.0416085629583,1813.5176028902156,1532249
2018-08-07,1786.591796875,1797.3076688350836,1780.3711903014364,1796.4448873869494,1353521
2018-08-08,1792.6309814453125,1796.5359463647778,1781.7335286705688,1790.8147393161885,1315062
2018-08-09,1792.9488525390625,1798.8063000845216,1785.3660636056604,1798.0797588704006,2060297
2018-08-10,1809.975830078125,1813.0634634565356,1790.8599507327576,1798.9421384451464,2784105
2018-08-13,1816.37841796875,1820.1016922619756,1807.16096674633,1814.2443555809543,3559575
2018-08-14,1819.4658203125,1838.58170028681,1800.2590395571754,1808.976978729528,3311765
2018-08-16,1823.9613037109375,1834.4501471854069,1811.7016683611253,1816.5147547292004,2152065
2018-08-17,1827.8204345703125,1836.1297633994473,1819.8743762906006,1828.819345440269,1213731
2018-08-20,1825.277587890625,1838.0367310821225,1819.6018321745858,1838.0367310821225,1587032
2018-08-21,1832.27001953125,1838.0365646456573,1819.874147998961,1825.4591132887388,1376866
2018-08-23,1848.117431640625,1850.7510052911132,1834.6773043956514,1836.9476073952724,3046791
2018-08-24,1855.291259765625,1858.0156228489811,1844.3938074321998,1848.1170814751965,1570533
2018-08-27,1862.4652099609375,1869.8210785066483,1848.0261752117674,1855.2911429767278,1532702
2018-08-28,1879.08447265625,1881.6272565339652,1863.464831277846,1866.189195066264,1987983
2018-08-29,1881.626953125,1885.8043989440189,1857.6525334818252,1882.0810136831865,1525867
2018-08-30,1891.0712890625,1893.4324926050851,1875.7241311634548,1877.9944339123817,2408020
2018-08-31,1887.4384765625,1899.7890100534162,1883.4428331026697,1890.9802812606902,2504554
2018-09-03,1864.2813720703125,1897.9727473212793,1860.1948278775155,1893.2505628181118,1439711
2018-09-04,1906.055419921875,1911.3680174079752,1867.9597814841754,1870.5480154818692,4420803
2018-09-05,1888.2103271484375,1913.6377116188746,1884.3962638197115,1907.0538352827793,1681106
2018-09-06,1884.6234130859375,1890.2537185182066,1871.0015991163132,1884.3509324647025,2238097
2018-09-07,1888.755615234375,1892.5242288297802,1875.6330889674707,1888.2561043254184,1312182
2018-09-10,1889.57275390625,1901.0603957701574,1883.6699674588679,1892.8873068430125,1530539
2018-09-11,1858.24267578125,1897.064850192807,1854.5647412319918,1897.064850192807,3679745
2018-09-12,1856.1536865234375,1878.8112588478987,1852.566653276826,1863.782035180101,2307661
2018-09-14,1875.6329345703125,1881.2180114774217,1832.7243302371849,1856.1992347880196,3642038
2018-09-17,1883.5791015625,1886.8938762698833,1865.7800628170355,1879.810488059985,1033857
2018-09-18,1880.4912109375,1887.8016279694484,1868.549510692609,1882.534482807407,1456507
2018-09-19,1886.984619140625,1897.0648513619544,1876.9500590223527,1881.535892904066,1301268
2018-09-21,1909.91455078125,1926.1245989611473,1861.7841388317258,1886.1672758332404,4508530
2018-09-24,1996.4591064453125,2007.4020117878686,1905.3745012428697,1920.6764329026653,3032226
2018-09-25,1982.6102294921875,2008.6732645104612,1955.9115539533288,2002.316415886039,2868778
2018-09-26,1945.3310546875,1996.957815406589,1938.9289798499406,1986.0603648450249,1970951
2018-09-27,1987.740966796875,2006.6751587861295,1939.565097896967,1945.1045036047633,3311802
2018-09-28,1983.063720703125,1988.7849271642087,1960.4970475916575,1977.8874755085144,2904371
2018-10-01,2048.31298828125,2066.8385736266437,1989.1035254320257,1989.6028147663542,3772208
2018-10-03,1964.1298828125,2047.813156603756,1957.5460045928205,2043.5450316169884,3902322
2018-10-04,1875.088134765625,1958.4989089008038,1867.4145572728676,1958.4536802218138,4762419
2018-10-05,1909.46044921875,1925.2164365696467,1835.221671540544,1861.6479693244225,3417624
2018-10-08,1886.666748046875,1927.2142602971862,1859.9678587512522,1909.4604511566934,2010154
2018-10-09,1899.6075439453125,1914.001128707669,1864.5539848128722,1889.2096028820238,1867130
2018-10-10,1855.8360595703125,1912.4573819367579,1842.5775150973607,1907.0541063107232,2749573
2018-10-11,1798.0343017578125,1828.0477480232432,1762.6630297630973,1802.620357588742,4700256
2018-10-12,1742.048828125,1796.2636158698147,1728.1545303338005,1796.2636158698147,9373289
